ID,X,Y,Z,Indoor,InCar,BSdist,GCellID
183,75.287708,-139.281104,1.5,true,false,160.061597,0
184,131.89198,131.572317,1.5,true,false,187.77385,0
185,182.225052,-136.556613,1.5,true,false,228.923411,0
186,231.0881,38.197598,1.5,true,false,235.399695,0
187,77.403637,-124.388779,1.5,false,false,148.378372,0
188,-167.63939,-35.452335,1.5,false,false,172.951101,0
189,185.843278,-169.675444,1.5,true,false,252.744397,0
190,227.456617,-31.193282,1.5,true,false,230.785145,0
191,-216.833447,43.140368,1.5,false,false,222.328777,0
192,-130.606297,-206.159217,1.5,false,false,245.177237,0
193,59.251405,-213.312319,1.5,true,false,222.632263,0
194,146.912067,-60.290304,1.5,true,false,160.531387,0
195,29.886233,142.446791,1.5,true,false,147.433121,0
196,-142.105396,-92.848208,1.5,true,false,171.367976,0
197,-24.869672,-47.642939,1.5,true,false,58.65663,0
198,-78.854362,-44.898246,1.5,true,false,93.734267,0
199,212.887314,16.930292,1.5,true,false,214.848536,0
200,197.461674,-20.181572,1.5,true,false,199.876609,0
201,15.204328,-168.508396,1.5,true,false,170.817157,0
202,59.615923,211.885224,1.5,true,false,221.363178,0
203,-237.981751,-31.022601,1.5,true,false,241.14304,0
204,122.269551,-189.028319,1.5,true,false,226.348843,0
205,-0.66233,81.278794,1.5,true,false,84.610466,0
206,219.075224,153.385971,1.5,true,false,268.465007,0
207,61.508412,173.057713,1.5,true,false,185.160759,0
208,-58.326624,210.742025,1.5,false,false,219.923728,0
209,180.131329,-38.401851,1.5,true,false,185.672421,0
210,57.74497,-226.879277,1.5,true,false,235.289051,0
211,-79.302399,-23.386903,1.5,true,false,85.95387,0
212,-234.637851,-122.59478,1.5,true,false,265.775565,0
213,243.874918,-6.631279,1.5,true,false,245.094267,0
214,-33.477659,76.643227,1.5,true,false,86.874553,0
215,-210.996807,159.202759,1.5,true,false,265.36281,0
216,-137.799259,-44.815762,1.5,true,false,146.796929,0
217,145.305608,-136.178815,1.5,true,false,200.525907,0
218,-177.995615,-56.099004,1.5,true,false,188.100471,0
219,-12.917043,-248.830635,1.5,true,false,250.271422,0
220,-168.229146,169.23291,1.5,true,false,239.777133,0
221,-9.735151,134.441049,1.5,true,false,136.826236,0
222,-29.00766,-97.560466,1.5,true,false,104.459269,0
223,-83.945447,-154.296366,1.5,true,false,177.218669,0
224,119.720307,111.724271,1.5,false,false,165.431299,0
225,-244.21204,35.541221,1.5,false,false,247.901087,0
226,-170.493464,-83.000739,1.5,true,false,191.074316,0
227,75.001917,135.95442,1.5,true,false,157.038664,0
228,38.642668,-263.502028,1.5,false,false,267.355241,0
229,-96.665914,147.212485,1.5,false,false,177.674041,0
230,34.45885,-226.539293,1.5,true,false,230.346942,0
231,111.665152,67.076737,1.5,true,false,132.365573,0
232,-105.870897,-110.037258,1.5,true,false,154.496262,0
233,91.596524,225.648138,1.5,true,false,244.661512,0
234,90.17834,162.461521,1.5,true,false,187.291561,0
235,105.842657,-206.267959,1.5,true,false,233.026585,0
236,-52.117259,218.340893,1.5,false,false,225.701582,0
237,172.288599,-42.340527,1.5,true,false,178.96461,0
238,175.522682,157.436486,1.5,true,false,236.952968,0
239,17.069294,130.493667,1.5,true,false,133.686978,0
240,59.322667,-34.801403,1.5,true,false,72.681266,0
241,-107.905245,-178.504195,1.5,true,false,209.903643,0
242,62.116205,150.074313,1.5,true,false,164.112682,0
243,64.768862,-90.334859,1.5,true,false,113.611805,0
244,243.260729,-129.30902,1.5,true,false,276.49386,0
245,-144.280226,41.169114,1.5,true,false,151.868133,0
246,118.150521,9.756711,1.5,true,false,120.859377,0
247,176.158073,-6.896131,1.5,false,false,177.852392,0
248,25.596487,224.707113,1.5,false,false,227.377916,0
249,70.773708,106.055656,1.5,false,false,129.649411,0
250,124.565177,-106.398044,1.5,true,false,165.49706,0
251,-66.424506,183.474998,1.5,true,false,196.538902,0
252,-10.326371,178.709954,1.5,true,false,180.543988,0
253,233.384902,49.747061,1.5,true,false,239.78226,0
254,42.640304,134.760968,1.5,true,false,143.286301,0
255,-23.545748,-100.520353,1.5,true,false,105.88198,0
256,-243.344544,-32.773501,1.5,true,false,246.663576,0
